name,active,comment,info_link,portrait_link
"CARLILE, E.",fl. 1882-93,"Possibly Edward Carlile, parliamentary draftsman, collected Vict.",,
"CARLQUIST, Sherwin, Dr",1930-,"Botanist, biologist",,
"CARLSON, A. ^^",fl. 1888,"Arrived WA from Melbourne 29 June 1888, prospector",,
"CARLTON, Henry, born SCHNEIDER",fl.1891-1917,,,
"CARNABY, Ivan Clarence",1908-1974,"Farmer, naturalist, ornithologist, WA",notes,
"CARNE, Joseph Edmund",1855-1922,"Curator Mining Museum, Government Geologist, NSW",notes,
"CARNE, Walter Mervyn",1885-1952,"Botanist, plant pathologist, Vic, WA, Tas",notes,
"CARNEGIE, David Wynford",1871-1900,"Explorer, prospector in WA",notes,portrait
"CAROLAN, Patricia M.",1928-,"Geologist, amateur eucalyptologist, Vic",notes,
"CAROLIN, Roger Charles, Prof.*",1929-,"Botanist, Professor, NSW",notes,portrait
"CAROUDOUS, Dr",,"Plant pathologist, phycologist",,
CARR,fl. 1886,,,
"CARR, Denis John, Prof.",1915-2008,"Botanist, writer",notes,portrait
"CARR, Geoffrey William*",1948-,"Nurseryman, botanist, artist",,
"CARR, Stella Grace Maisie, Mrs, nee FAWCETT",1912-1988,"Botanist, historian, eucalyptologist",notes,portrait
"CARRICK, John",1914-1978,Botanist,notes,portrait
"CARRODUS, Bailey Balfour, Dr",fl. 1950s,Ecologist,,
"CARROLL, Elizabeth J.[later HAYDON]",- 2007 ,"Botanist, Canberra CBG Herbarium",,portrait
"CARRON, Dr",fl. 1979,,,
"CARRON, William",1823-1876,"Botanist, forester",notes,portrait
"CARRUTHERS, W",fl. 1870,Palaeobotanist,,
"CARSE, Harry",1857-?1930,Teacher,,
"CARSON, A.",,,,
"CARSON, D.",,,,
"CARTER, C. Brunell",fl. 1915,,,
"CARTER, Charles Ernest",1885-1976,"School Principal, forester, eucalyptologist",notes,
"CARTER, Herbert James",1858-1940,Entomologist,,
"CARTER, J. [labels are with T.]",,,,
"CARTER, J. D. Mrs",fl.1894,"Collected MEL specimens
      at Southern Cross, WA",,
"CARTER, Sarah  nee HOLLINGDOR",c.1819-82,"Collected ferns for Mueller at Moonan Brook, NSW",,
"CARTER, Sarah Henriette, Miss",1841-1925,"Collected specimens, including fungi, for Mueller in NSW",notes,
"CARTER, Susan Holmes, Miss",fl. 1883,,,
"CARTWRIGHT, Capt.",,Lichenologist,,
"CASEMENT, Brabazon Newcomen, Dr",1852-1910,Medical doctor,notes,
"CASHIN, J.A.",fl. 1960s,Lichen collector,,
"CASHMORE, Alec Brooke*",1907-,Agronomist,notes,
"CATCHESIDE, David Guthrie, Prof.*",1907-,"Botanist, geneticist",,portrait
"CATLETT, W.",,,,
"CAULFIELD, Harold W.",fl. 1950s,"Nursery worker, propagator, Qld Gardens Director",notes,
"CAUX, G. de",fl. 1920s,,,
"CAVANAGH, Anthony",fl. 1960s-80s,Photographer,,
"CAVANILLES, Antonio Jose",1745-1804,"Botanical illustrator, Spain, (never visited Aust.)",notes,portrait
"CAYLEY, Neville William",1886-1950,"Natural history artist, mostly birds and mammals",notes,portrait
"CHADIM, Vaclav Anthony (Tony)",1929-,"Orchidologist in PNG, built up B&amp;W photo collection",notes,
"CHADWICK, C.E.",fl. 1940s-60s,,,
"CHADWICK, Y.",fl. 1970,Botanical illustrator,notes,
"CHALMERS, Samuel, Rev., Prof.",,,,
"CHAMBERLIN, Miss",fl.1876,"Collected  at 'Tarracutta' (i.e. Tarcutta), NSW,
      and Rochester, Vic.",,
"CHAMBERS, Thomas Carrick, Prof.",1930,"Botanist, pteridologist, Gardens Director, gardens historian, palaeobotanist",notes,portrait
"CHANDLER, Beth",fl. 1980s,Botanical illustrator,notes,portrait
"CHANDLER, C.",fl. 1860-88,,,
"CHANDLER, Greg",fl. 1990s,"Botanist, Canberra",,portrait
"CHAPMAN, Arthur David*",1947-,"Botanist, biographer",notes,
"CHAPMAN, Charles*",1904-,Farmer,,
"CHAPMAN, Frederick",1864-1943,"Geologist, palaeontologist",,
"CHAPMAN, Wilfred Dinsey, Col.",1891-1955,"Engineer, eucalyptologist",notes,
"CHAPPILL, Jennifer Anne (Jenny)",1959-2006,Botanist,notes,
"CHAPUY, Jean Baptiste",1760-1816,Botanical illustrator,notes,
"CHARLEY, James Lindsay, Dr",1931-,"Botanist, ecologist",,
"CHARSLEY, E.N.",,,,
"CHARSLEY, Fanny Anne, Miss",1828-1915,"Artist, author, Vic., Britain",notes,
"CHATTAWAY, Mary Margaret, Dr*",1899-1997,"Botanist, wood technologist",,
"CHEEL, Edwin",1872-1951,"Botanist, herbarium curator, writer",notes,portrait
"CHEESEMAN, Thomas F.",1845-1923,"New Zealand botanist, cutator",notes,portrait
"CHEESMAN, William Norwood",1847-1925,Fungus collector,,
"CHESTERFIELD, Evan Alexander*",1946-,Forester,,
"CHEW, Wee-Lek, Dr",1932-,"Botanist, initially in Singapore, later RBG Sydney. Malaysia, NSW",,portrait
"CHILD, John, Dr",1922-1984,"Economist, naturalist, cryptogamic botanist",,
"CHINNOCK, Robert James, Dr*",1943-,"Botanist, Eremophila specialist",,portrait
"CHIPPENDALE, George McCartney*",1921-2010,"Botanist, author, eucalyptologist, photographer, NT, ACT",notes,portrait
"CHIPPENDALE, ThelmaMyrtle (nee Gore)",1921-2011,"Illustrator, photographer, author, NT, ACT",notes,
"CHISHOLM, Edwin Claude, Dr",c. 1880-1944,"Medical officer, botanist",notes,
"CHISHOLM, James R.",?1855-1927,,,
"CHISHOLM, W.R.",fl. 1899,Collector,,
"CHORNEY, Kosmyn (previously spelt CZORNIJ)",fl 1960s,Adelaide Herbarium staff member,notes,portrait
"CHRISTENSEN, Geoffrey, Dr",fl. 1960s-SOS,"Research scientist, photographer",,
"CHRISTENSEN, Trevor John*",1954-,Horticulturist,notes,portrait
"CHRISTIAN, Clifford Stuart, Dr*",1907-,"Scientist, ecologist",,
"CHRISTOPHEL, David Charles, Dr*",1947–2018,"Botanist, palaeobotanist, SA",notes,portrait
"CHURCHILL, David Maughan, Dr*",1933-,"Gardens Director, botanist, palaeobotanist",notes,portrait
"CHURCHILL, Steven",fl. 1980s,Bryologist,,
"CLARK, A.",fl. 1887,,,
"CLARK, B.",fl. 1860s,,,
"CLARK, D.R. Mrs",fl.1886,"Collected a MEL
      specimen at Korumburra, Vic.",,
"CLARK, Ruth, Miss",fl. 1950s,Naturalist,,
"CLARKE, George H.",1895-,"Agricultural botanist, teacher, lecturer, NSW, SA. fl. 1930s-1940s",notes,
"CLARKE, Ian Charles*",1950-,Botanical technical officer,,
"CLARKE, J., Miss",fl. 1940s,,,
"CLARKE, R.",,,,
"CLARKE, Steven Mark",1956-,"Marine biologist, phycologist",,
"CLARKE, William Branwhite, Rev.",1798-1878,"Geologist, palaeobotanist",,portrait
"CLARKE, Zara",1885-1974,Daughter of pastoralist,notes,
"CLARKSON, D.B.",fl. 1860s,,,
"CLARKSON, John Richard*",1950-.,"Herbarium botanist, Qld",,portrait
"CLARKSON, Richard Charles",1947-,"Ecologist, planner",,
"CLARSON, William",~1832-1890,Writer and a horticulturalist,notes,
"CLASS, Jeanette",fl. 1970s,,,
"CLAYTON, Margaret N., Dr*",1943-,Phycologist,,
"CLEARY, Miss",fl.1882,"Collected a MEL specimen
      at Rostrevor, Spring Bay, Tas",,
"CLELAND, John Burton, Prof. Sir",1878-1971,"Government plant pathologist,mycologist, botanist, microbiologist",notes,portrait
"CLELAND, William Lennox, Dr",1847-1918,Surgeon and medical practitioner,,
"CLEMENS, Joseph, Rev.",1862-1936,"Missionary, botanical explorer, mostly SE Asia, PNG",,portrait
"CLEMENS, Mary Knapp, Mrs, nee STRONG",1873-1968,"Missionary, herbarium collector, mostly SE Asia, PNG",notes,portrait
"CLEMENT, E., Dr",fl. 1910,,,
"CLEMENTS, Frederick Moore",1857-1920,"Medicinal plant collector, pharmacist, manufacturing chemist",,
"CLEMENTS, Mark Alwin",1949–,"Herbarium botanist, orchidologist, SA, ACT",,portrait
"CLEMESHA, Stephen Chapman*",1942-,"Botanist, author, orchidologist",,
"CLEMSON, Alan",fl. 1980s,"Apiculturist, photographer",,
"CLENDINNING, Martha, Mrs",1822-1908,"Collected for Mueller at Maldon and Ballarat, Vic.",notes,
"CLEVELY, John",1747-1768,Botanical artist,notes,
"CLIFFORD, Harold Trevor, Prof.*",1927-,"Taxonomist, ecologist, author",notes,portrait
"CLIFFORD, J. [also T.]",,,,
"CLIFTON, George",1823-1913,"Police Inspector, algae collector",,
"CLINTON, S.F.",,,,
"CLORVES, M.",,,,
"CLOUGH, Richard",1921-2014,"Architect, landscape architect, bibliophile, gardening historian",notes,portrait
"CLOWES, G.",fl. 1850s,? visitor to NSW,notes,
"CLULEE, Charles James",1868-1932+,Forester,notes,
"CLUNIES-ROSS, William John",1850-1914,"College lecturer, scientist",notes,
"COALDRAKE, John Edward",1920-,Plant ecologist,,
"COBB, Lorraine",-2008,Botanist and botanical illustrator,notes,portrait
"COBB, Nathan Augustus",1859-1932,,,
"COCHRANE, G. Ross",fl. 1960s,"Ecologist, geographer",,
"COGHILL, George",1864-1957,,,
"COLE, E. W.",f. 1860s,"Photographer, publisher, seed collector",,
"COLE, M. M.",fl. 1960s,,,
"COLE, Stephen",f. 1852-68,Police commissioner on River Murray,,
"COLEMAN, Edith, Mrs, nee HARMS",1874-1951,"Teacher, naturalist, writer, esp. Victorian Naturalist, Vic",notes,portrait
"COLEMAN, Robert Stanley (""Bob"")",fl. 1960s,"Plant collector, apiculturist",,
"COLENSO, William",1811-1899,"Missionary and botanist esp. cryptogams, mostly in New Zealand",,
"COLLIE, Alexander",1793-1835,"Surgeon, explorer",notes,
"COLLIE, Robert, Rev.",1839-1892,"Presbyterian Minister, amateur collector, ecologist",notes,portrait
"COLLINS, June",fl. 1960s,Botanical illustrator,notes,
"COLLINS, Marjorie Isabel, Miss[SHIELS, Mrs]",1895-1970,"Botanist, ecologist",,
"COLLINS, Ronald, Rev.",1918-1989,"Anglican Minister, orchid collector, Atherton, Qld",notes,
"COLLIVER, Frederick Stanley",1908-1991,"Geologist, naturalist",notes,
"COLQUHOUN, Thomas Talbot",1904-1981,"Botany lecturer Uni Adelaide &amp; Waite, Director Land Settlement",,
"COLYER, C.",,,,
"COMBER, Harold Frederick",1897-1969,"Botanical explorer, gardener",,
"CONABERE, Elizabeth Vivienne, Mrs*",1929-2009,Botanical artist,notes,
"CONN, Barry John, Dr*",1948-,Botanist,,portrait
"CONNELL, Miss",fl.1864,"Collected MEL specimens
      (algae) at George Town, Tas.",,
"CONNOR, F.",,,,
"CONRAN, John Godfrey*",1960-,"Botanist, ecologist",,portrait
"CONRICK, Patrick Edward*",1922-,,,
CONSIDEN. Denis,c.1760-1815,Medical practitioner,notes,
"CONSTABLE, Ernest Francis*",1903-1986,Herbarium collector,notes,
"CONSTANS, L.",fl. 1850s,"Botanical illustrator, lithographer, Britain, never visited Aust.",notes,
"COOK, James, Capt.",1728-1779,"Navigator, explorer",notes,portrait
COOK. E.R.,fl. 1930s,,,
"COOKE, David Alan",1949-,Botanist,,
"COOKE, George",1781-1834,Botanical illustrator,notes,
"COOKSON, Isabel Clifton Dr",1893-1973,"Palaeobotanist, palynologist, illustrator",notes,portrait
"COOPER, Daniel, Sir",1821-1902,"Merchant, philanthropist",,
"COOPER, De",,,,
"COOPER, Duncan Elphinstone",1813-1904,"Pastoralist, amateur painter, drew trees",notes,
"COOPER, Elizabeth",1950-,"Botanical artist, especially Stenocarpus, NSW",,
"COOPER, Harold M.",1886-1970,Scientist,,
"COOPER, William T. (Bill)",1934-,"Natural history artist, fruit illustrator, Qld.",notes,portrait
"COPLEY, Bruce Jabez*",1933-1984,"Amateur botanist, photographer, farmer",notes,
"COPLEY, Peter Bruce*",1956-,"Botanist, zoologist, ecologist",,
"COPPINGER, Richard William ``",1847-1910,"Irish naval surgeon, naturalist, 1881 visited Sydney, Qld, PNG",,
"COQUE, John Vincent de",1857-post 1910,"Timber inspector, businessman",notes,
"CORBEM, Keith D., Dr",fl. 1979,"Geologist, botanist",,
"CORDER, Thomas",1812-1874,Miller,,
"CORNISH, W.H.",fl. 1880s,Pastoralist,,
"CORRELL, Raymond L., Dr",fl. 1970s,"Botanist, mathematical statistician",,
"CORREY, Allan Dale*",1931-,Landscape architect SA,,
"CORRICK, Margaret Georgina, Mrs*",1922-,Herbarium assistant,,
"COSH, Janet Louise",1901-1989,"Teacher, historian, herbarium collector, philanthropist",notes,portrait
"COSTERMANS, Leon F.",1933-,"Teacher, botanist, author, illustrator",notes,
"COSTIN, Alec Baillie*",1925-,"Ecologist, author",notes,portrait
"COTTER, Jessie Annie, nee KENNEDY",1864-1941,Collected for Mueller in Queensland,notes,portrait
"COTTRELL-DORMER, W.",fl. 1927,,,
COURDEROT de MELANGE,fl. 1880s,Algae collector,,
"COURT, Arthur Bertram",1927-2012,"Herbarium botanist, curator, Acacia specialist, Vict, ACT",notes,portrait
"COUTANT, Jean Louis Denis",1776-1831,Botanical engraver,,
"COVENY, Robert George",1943-,Herbarium collector,notes,portrait
"COWAN, Richard S.",1921-1997,"Taxonomist, plant name indexer, author",notes,
"COWLE, Kate J. (married as WEINDORFER)",-1916,"Field Naturalist, later wife of Gustav Weindorfer",notes,
"COWLEY, E. ``",fl. 1890s,"Overseer Kamerunga State Nursery N Qld, 1893 to PNG",notes,
"COWLEY, Ebeneezer",1848/9-1889,,,
"COX, Eliza later Mrs Dixon",1830-1897,"Collected for Mueller in Tas, wildflower and landscape painter,",notes,portrait
"CRAFTER, Brian",fl. 1960s-80s,Photographer,,
"CRAIGIE, Emma nee BERTHOUD",1842-1921,Collected for Mueller in WA,notes,
"CRAIGIE, W.",fl. 1906-09,Lichen collector,,
"CRANE, Cyril Ralph",1938-1999,Queensland orchid collector,notes,portrait
"CRANFIELD, Raymond Jeffrey",1947-,Botanist,,
"CRAVEN, Lyndley Alan*",1945-2014,"Botanist, mostly with CSIRO in Canberra, briefly in PNG",notes,portrait
"CRAWFORD, Alexander Robert",1840-1912,Farm manager,notes,
"CRAWFORD, Lindsay D.",fl. 1950s,Geologist,,
"CRIBB, Alan Bridson, Dr",1925-,"Botanist, phycologist",,
"CRIBB, Joan Winifred, Mrs, nee HERBERT",1930-,"Botanist, mycologist Qld.",notes,
"CRICHTON, Charles Eric*",1949-,Photographer,,
"CRICHTON, George A.",fl. 1960s-80s,Mycologist,,
"CRISP, Leanne",fl. 1978,"Artist, illustrator (SA, ACT)",,
"CRISP, Michael Douglas, Dr*",1950-,Botanist,,portrait
"CROCKER, Robert Langdon, prof.",1914-1963,"Botanist, ecologist",,
"CROFT, Jim R.",1951-,"Botanist, pteridologist, data-manager",notes,portrait
"CROLL, Robin D.",,Agriculturalist,,
"CROMBIE, James",1881-1942,Pastoral Manager,,
"CROMER, D'Arcy Ananda Neil*",1910-,"Ecologist, botanist",,
"CRONIN, Margaret, Miss",?-1929,Collected for Mueller in WA c.1890,notes,
"CRONIN, Mary Ann, (later Mrs WALTER)",1871-1974,Collected extensively for Mueller in WA 1887-1894,notes,portrait
CRONIN. Edward,fl. 18905,,,
"CROOK. Keith W.S., Dr",fl. 1960-80,"Palaeonologist, geologist",,
"CROSS, D.O.",fl. 1941,,,
"CROSS, Edward William (Ed)",1977-2007,"Systematic botanist, NSW and Canberra",notes,portrait
"CROSSLAND, C.",fl. 1905,Explorer,,
"CROSSMAN, Douglas George",1952-,Zoologist,,
"CROUCH, H.A.",fl. 1870s,,,
"CROUCH, Maria, Mrs, nee TELFORD",fl. 1874-76,Collected for Mueller in WA,notes,
"CROWIN, Annie",1881-?,,,
"CROXALL, Barbara S. (nee Parris)",fl. 1970-90s,Pteridologist,,portrait
"CROXALL, John P.",fl. 1970s,"Ornithologist, pteridologist",,
"CROXFORD, Eileen",1912-2006,"Naturalist, herbarium collector, Albany, WA.",notes,portrait
"CRUIKSHANK, Veda M.",fl. 1960s,"Illustrator, artist",,portrait
"CULLIMORE, Jill, Miss",fl. 1960s,Herbarium assistant,,
"CUMMING, D.",fl. 1891-92,"Assistant, Elder Expedition",,
"CUMMING, Mrs",fl. 1893,"Collected for Mueller near Hopetoun, Vic",,
"CUMMING, Russell*",1959-,Acacia collector,,
"CUNNINGHAM, Allan",1791-1839,"Explorer, botanist, official collector for Joseph Banks",notes,portrait
"CUNNINGHAM, Geoff McIver",fl. 1960s-2000s,"NSW Soil Conservation Service officer, author, photographer",notes,portrait
"CUNNINGHAM, Gordon Heriot, Dr",1892-,Mycologist,,
"CUNNINGHAM, Richard",1793-1835,"Colonial Botanist, gardens superintendent (brother of Allan)",notes,portrait
"CURDIE, Daniel, Dr",1810-1884,"Pioneer pastoralist, physician, naturalist",notes,portrait
"CURDIE, Frances Niel nee PURVES",1829-1900,Collected for Mueller in Vic,notes,portrait
"CURNOW, Judith A.",fl.1980s,"Technician, Canberra Botanic Gardens Herbarium, ACT",,
"CURRAN, John Michael [Milne], Rev.",1859-1929,"Roman Catholic priest, lecturer, public servant, palaeobotanist",,
"CURTIS, Denzil",1892-1973,"Farmer, naturalist",,
"CURTIS, H.S.",,,,
"CURTIS, Winifred Mary, Dr*",1905-2005,"Botanist, author, mostly TAS",notes,portrait
"CUSACK, William Henry",1871-1965??,Pastoralist,,
"CUSACK, William Michael",1871-1965,"Forester, WA",notes,
"CUTHBERTSON,Walter R. ``",1877-1898,"Surveyor in Qld, also in PNG",notes,
"CZORNIJ, Kosmyn (later spelt CHORNEY)",fl 1960s,Adelaide Herbarium staff member,notes,portrait
"D'ALBERTIS, Luigi Maria, Count",fl. 1873,,,portrait
"D'ALTON, St Eloy",1847-1930,"Engineer, botanist",notes,portrait
"D'ARNAY, Edna",fl. 1960s,"Lab technician CSIRO, assistant to N.Burbidge, ACT",notes,
"D'URVILLE DUMONT, J.S.C.",1770-1840,French naval explorer,notes,portrait
"D'URVILLE, Jules Sebastien Cesar Dumont, Admiral",1790-1842,"Explorer, botanist",notes,portrait
"DAEMEL [D&Auml;MEL], C. F. Eduard",c.1821-1900,"German entomologist, explorer, plant collector",notes,portrait
"DAHL, Eiliff",,Lichen collector,,
"DAHL, Klaus Bjarne",1898-1993,"Forester, eucalyptologist, philanthropist, Norway, Vic",notes,
"DAINTREE, Richard",1831-1878,"Geologist, photographer",notes,portrait
"DAINTREY, Edwin",1814-1887,solicitor,notes,portrait
"DAKIN, Edward Thomas",1897-1955,Gardener,,
"DALE, B.A., Mrs",fl. 1939,,,
"DALE, Robert",1810-1853,"Military officer, explorer, artist, timber merchant",notes,
"DALEY, Charles",1859-1947,"Teacher, historian, author",,
"DALEY, Nicholas",1882-1963,"School teacher, QLD",notes,
"DALLACHY, John",?1803-1871,"Gardens director, field, collector, VIC. and Qld.",notes,
"DALTON, J.C.",,,,
"DALTON, S.M.",,,,
"DALY, Barbara Granville",1925-2020,"Nurse, naturalist, volunteer plant diarist, ANBG, ACT",notes,portrait
"DAMPIER, William",1652-1715,"Ship's Commander, privateer, explorer, writer",notes,portrait
"DANA, James Dwight, Prof.",1813-1895,"Biologist/geologist, Professor at Yale University",notes,portrait
DANE,fl. 1895,,,
"DANES, Jeri [George] Vaclav, Dr",1880-1928,Geologist,,
"DANGER, W.J.",fl. 1860s,,,
"DANGERFIELD, Barry",1933-2005,"Horticulturist, park manager",notes,
"DANIEL, E.",fl. 1860S,,,
"DANIELL, Thelma Christine, Mrs nee JOHNSON",fl. 1930s,Artist,,
"DANIELS, Lindsay James",1932-,Agriculturist,,
"DARBY, S.",fl. 1890S,,,
"DARBYSHIRE, Paul J.",fl. 1960s,"CSIRO Div Land Research and Regional Survey, ACT",,
"DARE, Miss",fl.1889,Collected for Mueller in WA,,
"DARLING, Elizabeth, Lady",fl. 1830s,Artist,,
"DARNELL-SMITH, George Percy, Dr",1868-1942,Agricultural microbiologist,,
"DARWIN, Charles Robert",1809-1882,"Natural scientist, philosopher, author (Aust 1836)",notes,portrait
"DASHORST, Gilbert Roelof Maria",1956-,Botanical illustrator,notes,portrait
"DAVENPORT, A.",fl. 1870s-1900s,,,
"DAVEY, Eleanor Alice (Nellie), Miss",1862-1907,"Collected for Mueller, including algae, in SA",notes,
"DAVEY, James",fl. 1980s,Botanist,,
"DAVEY, Trevor",fl. 1977,,,
"DAVID, Tannatt William Edgeworth",1858-1934,"Geologist, Antarctic explorer",,portrait
"DAVIDSON, D.",,,,
"DAVIDSON, J.",,,,
"DAVIDSON, William",fl. 1820-30,Garden superintendent,,
DAVIDSON. Alexander,fl. 1886,,,
"DAVIES, C.",fl. 1890s,,,
"DAVIES, Charles",1814-1888,"Medical practitioner, naturalist, politician",,portrait
"DAVIES, Fay E.",fl.1980s,"Technician, Canberra Botanic Gardens Herbarium, ACT",,
"DAVIES, Olive Blanche",1884-1976,"Botanist, botanical illustrator",notes,
"DAVIES, Richard Henry, Rev.",fl. 1830s-1887,"Reverend, plant collector",notes,
"DAVIS, Dorothy Gwenda Louise,",1911-,"Botanist, Assoc. Prof.*",notes,
"DAVIS, H.",,,,
"DAVIS, Harrold Consett Fosbery, Dr*",1913-1944,"Botanist, army officer, collected in Kimberley, WA",notes,portrait
"DAVIS, J.",fl. 1886,,,
"DAVIS, Mervyn Twynam, Miss*",1916-1985,Landscape architect,,
"DAWES, William",1762-1836,"First Fleet Royal Marine, illustrated plants",notes,
"DAWSON, James",fl. 1876-99,"Surveyor, NSW",notes,
"DAY, George Porter",fl. 1870-90s,,,
"DAY, J. [or E.]",,,,
"DE  PANNEMAEKER, Pieter",fl.1890s,Belgian artist and printmaker (didn't visit Australia),notes,
"DE BEUZEVILLE, W.A.W., see BEUZEVILILE",,,,
"DE BOULEY, see BOULEY",,,,
"DE CAUX, G., see CAUX",,,,
"DE JERSEY, Noel J., Dr",fl. 1940-80s,Palynologist,,
"DE JONCHEERE, Gerardus Johannes",1909-1989,"Businessman, amateur, pteridologist",,
"DE LA CAMARA, Chevalier A. see CAMARA",,,,
"DE LA TOUR, J.B.L.T. LESCHENAULT, see LESCHENAULT",,,,
"DE MOLE, Fanny Elizabeth",1835-1866,Flower painter in SA,notes,portrait
"DE NARDI, Jan Christina, Mrs, nee MORROW*",1937-,Botanist,,
"DEANE, Henry",1847-1924,"Railways engineer, geologist, botanist, palaeobotanist",notes,portrait
"DECAISNE, Joseph",1807-82,"French botanist, did not visit Australia",notes,portrait
"DEFLANDRE, Geoges, Dr",fl. 1950-60,Palynologist,,
"DELILE, Euthalia",fl. 1825-1840,Botanical illustrator,notes,
"DELISSER, E. Alfred, Capt.",fl. 1860s,"Squatter, surveyor",,
"DELL, Bernard, Dr",1947-,Botanist,,
"DELL, Edgar Thomas",1901-2008,"Artist, seaman, WA",notes,portrait
"DELLAR, C., Mrs",fl.1890-91,"Collected for Mueller at Avoca, Vic",,
"DEMARZ, H.",,,,
"DEMPSTER, Andrew",1843-1909,Pastoralist,,
"DEMPSTER, J. Keith",fl.1960s,Victorian naturalist,,
"DEN HARTOG, C. see HARTOG",,,,
"DENDY, Arthur, Prof.",1865-1925,"Biologist, writer",,
"DENHAM, Henry Mangles, Adm. Sir",1800 – 1887,Naval surveyor,notes,
"DENISON, William Thomas, Sir",1804-1871,Colonial Governor,,
"DENNIS, Jean",1938-,"Botanical artist, especially Brachychiton",,
"DETTMANN, Mary Elizabeth, Dr",1935-,Palynologist,,
"DEVIS [DE VIS], Charles Walter",1829-1915,"Naturalist, palaeontologist",,
"DEVLIN, Mary Barbara, Miss",1916-,Artist,,
"DICK, Thomas",fl. 1910-1927,"Oyster farmer, ethnographic photographer, NSW",notes,portrait
"DICKER, Charles William Hamilton",1855-1912,"Church of England clergyman, artist, amateur botanist",,
"DICKINS, Herbert Peabody",1872-1963,Wildflower painter,notes,
"DICKINSON, James",fl. 1887,,,
"DIELS, Friedrich Ludwig Emil, Dr",1874-1945,"Botanist, author, gardens director",notes,portrait
"DIEN, Claude-Marie-Francois",1787-1865,Engraver for plant illustrations of Labillardiere,notes,
"DIEN, J.B.",fl. 1799-1827,Botanical engraver,notes,
"DIETRICH, F.W.S., see SEMPER, C.G.",,,,
"DIETRICH, Koncordia Amalia nee NELLE",1821-1891,"Museum collector, botanist",notes,portrait
"DILLEWAARD, Handricus (Hans) Alouisius",1957-,"Herbarium staff, Qld.",notes,
"DILLON, Louis George",1868-1961,"Seed collector, farmer",notes,
"DILLON, W.H.",fl. 1894,,,
"DITTRICH, Herbert, Lieut.",fl. 1885-6,"Pastoralist(?), collector, linguist(?)",notes,
"DIXON, J.E.",,,,
"DIXON, Kingsley Wayne, Dr",1954-,"Horticultural botanist, WA",,
"DIXON, Mary (May), Miss",c.1874-1950,Collected for Mueller in Qld,notes,
"DIXON, Samuel",1841-1927,Ecologist,,
"DIXON, W.A.",fl. 1903-05,,,
"DOBSON, Andrew Thomas, Dr*",fl. 1970s,Botanist,,
"DOBSON, Frank Stanley, Hon. Dr",1835-1895,"Lawyer, politician",,
"DOBSON, Henry, Hon. Dr",1841-1918,Lawyer,,
"DOBSON, William Lambert",1833-1898,Judge,,
"DOCKRlLL, Alick W.*",1915-2011,"Orchidologist, herbarium keeper, north Qld, PNG",notes,portrait
"DOGGRELL, R.H.",fl. 1920s-30s,,,
"DOHERTY, Michael",fl. 1990s,Ecologist,notes,
"DOING, Henk",fl. 1960s,"Ecologist, from Holland, in Canberra in 1960s",,
"DOLL, G.",,,,
"DOMBROVSKIS, Peter",1945-1996,Environmental and botanical photographer,notes,portrait
"DOMIN, Ella",fl. 1925-1930,Botanical illustrator,notes,
"DOMIN, Karel, Prof.",1882-1953,"Botanist, author",notes,portrait
"DONALDSON, Agnes Adelaide nee ELMS",1865-1948,Collected for Mueller in Qld,notes,
"DONALDSON, E.",,,,
"DONALDSON, Stuart",fl. 1990s,"Horticulturalist, botanic gardens, Canberra, ACT",,
"DONALDSON, Stuart Alexander, sir",1812-1867,,,
"DONELLY, G.",fl. 1980s,,,
"DONNER, Nikolay (Nik)",1921-2011,"Botanist, Adelaide Herbarium, SA",notes,portrait
"DONOVAN, Mrs",fl.1896,Collected for Mueller in WA,,
"DONOVAN, William",1861-1939,Forester,notes,
"DOODY, John",fl. 1790s,"Convict (Norfolk Island/Sydney), botanical illustrator",notes,
"DORAN, Ph.",fl. 1891,,,
DORMAN,fl. 1960s,,,
"DORRIEN-SMITH, Arthur Algernon, Major",1876-1955,"Horticulturalist, author, naturalist",notes,
"DORRINGTON, Annie",1866-1926,"Amateur botanical artist, WA",notes,portrait
"DORWARD, Reginald Allan",1924-,Timber getter,notes,
"DOUGLAS, John Gordon George, Dr",1929-2007,"Geologist, palaeobotanist",,
"DOVEY, Leonard G.",fl. 1920s-30s,"Botanist Qld Herbarium, collected in Rosedale area",,
"DOWLING, Bill",1942-,"Orchid collector, conservationist",notes,
"DOWLING, R.",fl. 1970s,Botanist,,
"DOWLING, S.P.",fl. 1889,Algae collector,,
"DOWNES, Susan, nee PAUST*",1949-,Botanist,,
"DOWSON, Walter John",1887-1963,Mycologist,,
"DRAKE-BROCKMAN, Grace Vernon - see BUSSELL, Grace Vernon",,,,
"DRAKE, Sarah Ann",1803-1857,"Lindley's botanical illustrator, Britain (not Aust.)",notes,
DRIFFIELD,fl. 1870s,,,
"DRUMMOND, James",1786-1863,"Government Botanist, explorer, WA",notes,
"DRYSDALE, G.",fl. 1892,,,
"DU RIETZ, Gustaf Einar",1895-,,,
"DUCKER, Sophie Charlotte",1909-2004,"Botanist, phycologist, botanical historian",notes,
"DUDLEY, L.R.",fl. 1940s,Forest Assessor,,
"DUFF, John",1845-?1912,Forest Inspector,,
"DUIGAN, Suzanne L.,",1924-1993,"Botanist, palaeobotanist",notes,portrait
"DUKE, Norm",fl. 2000s,Mangrove botanist,notes,portrait
